store,category,net_sales,units
Maceoo Aria,Blazer,510049.65,578
Maceoo Aria,Uncategorized,454839.58,7969
Online Store,Dress Shirt LS,392674.50,2706
Maceoo Aria,Dress Shirt LS,348958.66,1610
Maceoo Hollywood FL,Dress Shirt LS,294546.28,1314
CEOO DUBAI,Uncategorized,268453.97,698
Maceoo Hollywood FL,Blazer,268088.15,271
Online Store,Jacket,252905.21,594
Maceoo Atlantic,Uncategorized,230731.29,994
Maceoo Cosmo,Uncategorized,209367.69,1968
Online Store,Polo SS,207788.99,2546
Maceoo Hollywood FL,Uncategorized,194597.60,2077
Maceoo Tampa,Accessories,187259.05,418
Maceoo Cosmo,Blazer,177022.35,238
Maceoo MGM,Accessories,171667.05,519
Maceoo Hollywood FL,Bottom,164279.05,938
Maceoo Atlantic,Accessories,152218.55,313
Online Store,Dress Shirt SS,150264.44,1252
Maceoo Aria,Bottom,138041.73,797
Maceoo Cosmo,Accessories,135286.66,369
Venetian,Women's Swimwear,129658.73,1007
Maceoo MGM,Dress Shirt LS,119419.64,603
CEOO DUBAI,Accessories,115673.78,196
Maceoo Aria,Accessories,115082.44,474
Maceoo Hollywood FL,Accessories,114698.29,392
Maceoo Cosmo,Dress Shirt LS,113821.62,547
Maceoo Tampa,Dress Shirt LS,110965.32,568
Maceoo Atlantic,Polo SS,107266.74,870
Maceoo ilani,Uncategorized,106821.45,1478
CEOO DUBAI,Women's Shoes,103405.34,142
Maceoo Hollywood FL,Dress Shirt SS,101798.79,675
Maceoo Atlantic,Athleisure,101201.73,842
Maceoo Hollywood FL,Polo SS,99608.14,752
Maceoo Atlantic,Jacket,98199.66,176
Online Store,Blazer,97602.28,256
Maceoo Hollywood FL,Athleisure,97356.58,774
Maceoo Atlantic,Dress Shirt LS,95661.09,468
Online Store,Athleisure,92340.49,1122
Maceoo PR,Polo SS,92034.14,786
Maceoo MGM,Uncategorized,90709.46,2664
CEOO DUBAI,Women's Dresses,88191.52,166
Maceoo PR,Dress Shirt LS,88014.93,433
Maceoo Aria,Suit,87542.73,74
Online Store,Bottom,86210.68,783
Maceoo Aria,Dress Shirt SS,85455.28,583
Maceoo Atlantic,Bottom,80274.41,448
Maceoo Hollywood FL,Shoes,80177.26,269
Maceoo MGM,Blazer,76968.94,108
Maceoo Tampa,Blazer,76883.07,122
Maceoo Biloxi,Accessories,76002.16,325
Maceoo ilani,Accessories,74615.72,117
Maceoo Aria,Jacket,74400.66,186
Maceoo PR,Bottom,73659.65,451
Maceoo Biloxi,Polo SS,72866.26,669
Maceoo PR,Dress Shirt SS,71963.76,480
Maceoo Atlantic,Dress Shirt SS,71678.98,479
Maceoo Cosmo,Jacket,71233.09,96
Maceoo Aria,Polo SS,70223.46,542
Maceoo Tampa,Dress Shirt SS,63987.34,459
Maceoo MGM,Jacket,62770.37,89
Maceoo Tampa,Uncategorized,62228.82,1886
Maceoo Aria,Shoes,55934.19,187
Maceoo Biloxi,Dress Shirt LS,54772.57,317
Maceoo Cosmo,Dress Shirt SS,53584.35,354
Maceoo Tampa,Athleisure,53133.06,475
Venetian,Uncategorized,52429.90,1442
Maceoo Tampa,Polo SS,51333.16,411
Maceoo Biloxi,Dress Shirt SS,51210.11,377
Maceoo MGM,Dress Shirt SS,48199.29,317
Maceoo Atlantic,Blazer,48140.21,71
Caesars Palace (Womens),Uncategorized,47063.78,544
Maceoo Biloxi,Bottom,46976.13,319
Maceoo Tampa,Bottom,46570.29,272
Online Store,V-neck SS,43059.95,741
Maceoo Cosmo,Bottom,42750.43,247
Maceoo Biloxi,Athleisure,39148.09,351
Maceoo Tampa,Women's Dresses,37201.30,92
Maceoo ilani,Women's Jewellery,36238.44,698
Maceoo Biloxi,Blazer,36076.09,76
Online Store,Uncategorized,35966.69,352
Maceoo Aria,Athleisure,34018.65,292
Maceoo MGM,Bottom,34009.43,223
Maceoo Resorts World Las Vegas,Blazer,32001.71,53
Maceoo Atlantic,Shoes,31203.17,110
Venetian,Women's Dresses,31006.53,82
Maceoo Cosmo,Polo SS,30124.28,241
Maceoo Cosmo,Women's Leather,28791.56,12
Online Store,Swim,28493.24,347
Maceoo PR,Accessories,28388.67,179
Maceoo Cosmo,Leather,27703.76,11
Maceoo Tampa,Shoes,27476.73,91
Maceoo Hollywood FL,Jacket,27394.86,79
Maceoo MGM,Polo SS,27279.49,226
Maceoo Resorts World Las Vegas,Uncategorized,25381.39,711
Maceoo Biloxi,Jacket,25248.44,56
Maceoo Hollywood FL,Swim,25000.35,229
Venetian,Dress Shirt SS,24530.69,159
Maceoo Ocean AC,Uncategorized,23554.21,344
Maceoo Hollywood FL,Leather,23148.19,14
Maceoo Resorts World Las Vegas,Dress Shirt LS,23123.63,123
Maceoo Cosmo,Shoes,23087.28,74
Maceoo Aria,Fragrance,22584.43,588
Maceoo Hollywood FL,Display,22282.76,3
Venetian,Blazer,22245.76,41
Online Store,Polo LS,21819.34,226
CEOO DUBAI,Women's Tops,21621.07,42
Online Store,Leather,20809.12,17
Maceoo Cosmo,Athleisure,20480.18,156
Maceoo MGM,Athleisure,20304.83,164
Maceoo MGM,Shoes,19878.35,68
