day,store,net_sales,gross_sales,discounts,sales_reversals,orders,units,new_customers,returning_customers,customers
2025-01-01,Maceoo Resorts World Las Vegas,2954,3016.49,-62.49,0,5,20,4,1,5
2025-01-01,Maceoo Hollywood FL,2570.16,3934.32,-129.76,-1234.4,16,28,9,6,15
2025-01-01,Maceoo Tampa,1444.26,1444.26,0,0,4,8,0,2,3
2025-01-01,Online Store,3863.65,3962.53,-98.88,0,31,31,26,5,29
2025-01-01,Maceoo MGM,4726.47,5727.34,-1000.87,0,8,23,3,3,7
2025-01-01,Maceoo Biloxi,886.64,926.52,-39.88,0,4,4,3,0,4
2025-01-01,Maceoo Cosmo,2342.63,2342.63,0,0,6,14,4,0,5
2025-01-01,Maceoo Aria,7132.51,7980.64,-549.25,-298.88,8,96,6,2,8
2025-01-01,Maceoo Atlantic,9274.44,17637.88,0,-8363.44,20,35,10,8,16
2025-01-02,Maceoo Hollywood FL,1335.94,1335.94,0,0,8,14,7,1,7
2025-01-02,Maceoo Atlantic,2572.91,2649.3,-76.39,0,8,35,5,3,8
2025-01-02,Online Store,3316.31,4118.8,-802.49,0,11,12,7,3,10
2025-01-02,Maceoo Aria,4088.49,4088.49,0,0,3,17,1,2,3
2025-01-02,Maceoo MGM,2408.63,3554.65,-643.82,-502.2,8,24,5,2,8
2025-01-02,Maceoo Resorts World Las Vegas,730.88,730.88,0,0,2,5,2,0,2
2025-01-02,Maceoo PR,1002.72,1251.04,0,-248.32,3,6,1,2,3
2025-01-02,Maceoo Biloxi,774.4,1092.16,-158.88,-158.88,4,6,2,1,4
2025-01-02,Maceoo Tampa,1466.97,1747.9,-122.05,-158.88,5,9,2,3,4
2025-01-02,Maceoo Cosmo,2922.92,3121.68,-198.76,0,4,11,3,0,4
2025-01-03,Online Store,8907.22,9257.36,-216.26,-133.88,11,48,4,7,9
2025-01-03,Maceoo Tampa,2234.09,2638.07,-403.98,0,6,15,1,3,5
2025-01-03,Maceoo Atlantic,2102.26,3431.02,-29.88,-1298.88,10,19,3,5,9
2025-01-03,WEB - Quiet LLC,89,98.88,-9.88,0,1,1,0,1,1
2025-01-03,Maceoo MGM,1299.68,1748.94,-449.26,0,5,12,2,0,3
2025-01-03,Maceoo Aria,6027.79,6471.03,-443.24,0,7,30,6,1,7
2025-01-03,Maceoo Cosmo,2005.67,2543.41,-345.3,-192.44,5,13,0,3,4
2025-01-03,Maceoo Biloxi,15538.55,16558.64,-1020.09,0,40,104,7,10,18
2025-01-03,Maceoo PR,3196.78,3872.24,-258.82,-416.64,6,22,1,5,6
2025-01-03,Maceoo Resorts World Las Vegas,1367.09,1367.09,0,0,3,9,2,1,3
2025-01-03,Maceoo Hollywood FL,2651.43,2651.43,0,0,8,23,7,0,8
2025-01-04,Maceoo Cosmo,304.86,404.86,-100,0,1,2,1,0,1
2025-01-04,Maceoo MGM,19030.1,19493.16,-463.06,0,6,30,4,1,6
2025-01-04,Online Store,2606.8,2636.8,-357.76,327.76,9,13,5,4,9
2025-01-04,Maceoo Aria,3628.57,3651.33,-22.76,0,9,31,6,3,9
2025-01-04,Maceoo PR,1821.12,2629.04,-666.26,-141.66,5,7,3,1,4
2025-01-04,Maceoo Biloxi,14405,18493.32,-883.74,-3204.58,46,79,12,16,26
2025-01-04,Maceoo Atlantic,8693.63,9629.15,-29.83,-905.69,12,32,2,9,12
2025-01-04,Maceoo Resorts World Las Vegas,1047.3,1128.78,-81.48,0,3,6,2,1,3
2025-01-04,Maceoo Tampa,1575.49,2420.63,-219.94,-625.2,8,19,1,4,6
2025-01-04,Maceoo Hollywood FL,11687.71,11979.3,-291.59,0,15,67,9,5,13
2025-01-05,Maceoo Resorts World Las Vegas,1516.5,1616.38,-99.88,0,2,6,2,0,2
2025-01-05,Maceoo Hollywood FL,7799.22,8096.01,-0.05,-296.74,13,41,7,5,10
2025-01-05,Maceoo MGM,1420.61,1515.24,-94.63,0,2,7,1,1,2
2025-01-05,Maceoo Tampa,4039.92,4353.78,-313.86,0,6,16,3,2,6
2025-01-05,Online Store,4124.54,3842.08,-68.89,351.35,12,22,5,7,12
2025-01-05,Maceoo Atlantic,3931.65,5476.05,0,-1544.4,10,22,4,4,9
2025-01-05,Maceoo Aria,920.3,1014.06,-24.88,-68.88,4,6,3,0,4
2025-01-05,Maceoo Biloxi,10998.92,12065.28,-600.84,-465.52,28,55,8,11,19
2025-01-05,Maceoo PR,2502.26,3516.72,-102.5,-911.96,9,14,3,6,9
2025-01-05,Maceoo Cosmo,497.52,523.4,-25.88,0,2,5,1,1,2
2025-01-06,Maceoo Biloxi,4458.23,5539.04,-293.05,-787.76,17,30,5,4,9
2025-01-06,Maceoo Aria,540.08,917.84,-94.44,-283.32,4,6,1,1,3
2025-01-06,Maceoo Atlantic,645.52,645.52,0,0,3,4,0,2,3
2025-01-06,Maceoo Cosmo,910.08,910.08,0,0,4,9,4,0,4
2025-01-06,Maceoo Tampa,6726.25,8779.21,-2052.96,0,8,20,2,2,5
2025-01-06,Maceoo Hollywood FL,2501.03,2501.03,0,0,6,19,4,2,6
2025-01-06,Online Store,197.77,7049.52,-3931.39,-2920.36,25,-23,4,21,25
2025-01-06,Maceoo MGM,1905.99,2440.67,-534.68,0,6,15,5,0,6
2025-01-06,Maceoo Resorts World Las Vegas,188.88,188.88,0,0,1,1,0,1,1
2025-01-07,Maceoo Hollywood FL,8383.41,8428.41,-45,0,10,55,4,3,8
2025-01-07,Maceoo Cosmo,188.88,188.88,0,0,1,1,1,0,1
2025-01-07,Maceoo PR,365.04,406.64,-41.6,0,3,3,1,2,3
2025-01-07,Maceoo Biloxi,1618.7,1696.8,-78.1,0,6,10,2,0,3
2025-01-07,Online Store,7504.56,9929.71,-1223.84,-1201.31,22,30,5,15,20
2025-01-07,Maceoo Atlantic,3379.48,3379.48,0,0,5,14,4,0,5
2025-01-07,Maceoo Tampa,622.62,622.62,0,0,2,4,1,1,2
2025-01-07,Maceoo Resorts World Las Vegas,228.12,228.12,0,0,2,5,1,1,2
2025-01-07,Maceoo MGM,385.32,385.32,0,0,2,4,2,0,2
2025-01-07,Maceoo Aria,7873.79,7876.43,-2.64,0,8,85,5,3,8
2025-01-08,Maceoo Tampa,9015.73,11087.5,-2071.77,0,10,71,1,7,9
2025-01-08,Maceoo PR,583.53,916.4,-173.99,-158.88,3,4,1,2,3
2025-01-08,Maceoo MGM,802.38,802.38,0,0,3,6,3,0,3
2025-01-08,Maceoo Aria,9041.75,9544.15,-3.52,-498.88,11,113,6,4,10
2025-01-08,Maceoo Cosmo,488.88,514.76,-25.88,0,1,2,1,0,1
2025-01-08,Online Store,1215.59,5392,-3522.08,-654.33,11,21,2,9,11
2025-01-08,Maceoo Atlantic,851.94,851.94,0,0,4,8,2,2,4
2025-01-08,Maceoo Hollywood FL,5659.89,6432.44,-381.44,-391.11,8,29,7,1,8
2025-01-08,Maceoo Biloxi,98.88,98.88,0,0,1,1,1,0,1
2025-01-08,Maceoo Resorts World Las Vegas,872.76,872.76,0,0,2,6,2,0,2
2025-01-09,Maceoo Biloxi,1509.4,1518.28,-8.88,0,5,7,2,2,5
2025-01-09,Maceoo Aria,3145.89,3198.93,-53.04,0,9,36,3,5,9
2025-01-09,Maceoo Tampa,936.52,936.52,0,0,2,4,1,1,2
2025-01-09,Online Store,4661.7,5244.23,-582.53,0,14,22,7,7,14
2025-01-09,Maceoo Cosmo,1330.17,1463.16,-132.99,0,4,7,2,1,4
2025-01-09,Maceoo Atlantic,1525.99,1595.76,-69.77,0,5,8,3,2,5
2025-01-09,Maceoo Hollywood FL,2178.79,2178.79,0,0,8,19,7,1,8
2025-01-09,Maceoo PR,1314.18,2140.32,-337.93,-488.21,3,12,2,1,3
2025-01-09,Maceoo MGM,192.66,192.66,0,0,1,2,1,0,1
2025-01-10,Maceoo Hollywood FL,9851.92,10733.29,-881.37,0,18,44,6,9,16
2025-01-10,Maceoo Biloxi,140.76,498.4,-357.64,0,3,5,0,2,3
2025-01-10,Maceoo Tampa,3853.27,3906.18,-52.91,0,7,11,1,4,6
