store,category,units,retail_value
WEB - Quiet LLC,Jacket,4248,2879789.04
WEB - Quiet LLC,Blazer,4185,2794135.16
WEB - Quiet LLC,Dress Shirt LS,11336,2440933.80
WEB - Quiet LLC,Athleisure,16394,2242848.84
WEB - Quiet LLC,Bottom,10021,1823832.08
Maceoo ilani,Acquisition,11224,1786349.24
Maceoo Aria,Suit,838,1387872.40
Maceoo Aria,Blazer,1072,955308.00
WEB - Quiet LLC,Shoes,1979,591491.04
Maceoo Hollywood FL,Dress Shirt LS,2451,547550.34
Maceoo MGM,Blazer,645,527142.48
Maceoo Aria,Dress Shirt LS,2414,522585.48
Maceoo Hollywood FL,Blazer,519,437509.76
WEB - Quiet LLC,Polo SS,3665,424174.48
WEB - Quiet LLC,Dress Shirt SS,2731,422982.52
Maceoo MGM,Accessories,1122,415551.61
Maceoo Cosmo,Blazer,538,412793.76
Maceoo Atlantic,Jacket,561,397796.08
WEB - Quiet LLC,Sweater,2049,384127.20
Maceoo Aria,Accessories,1722,381536.20
Maceoo Atlantic,Accessories,1826,377797.36
Maceoo MGM,Suit,223,367481.76
Maceoo Cosmo,Accessories,1243,352455.69
Maceoo PR,Dress Shirt LS,1630,344580.84
Maceoo Atlantic,Blazer,439,314609.28
Maceoo MGM,Jacket,352,314103.60
Maceoo MGM,Dress Shirt LS,1409,298571.12
WEB - Quiet LLC,Swim,2793,292013.12
WEB - Quiet LLC,Accessories,4920,287452.08
Maceoo Tampa,Accessories,1328,281254.38
Maceoo Aria,Bottom,1480,280388.32
Maceoo PR,Suit,130,268195.76
Maceoo Aria,Jacket,331,251718.40
WEB - Quiet LLC,Leather,127,230357.76
Maceoo Hollywood FL,Accessories,823,229200.92
Maceoo Atlantic,Dress Shirt LS,928,213150.12
Maceoo PR,Bottom,1209,211868.48
Maceoo Cosmo,Dress Shirt LS,936,198924.40
Maceoo MGM,Athleisure,1349,192865.91
Maceoo Biloxi,Accessories,631,188888.28
Maceoo PR,Accessories,658,187195.42
Maceoo Biloxi,Dress Shirt LS,906,185128.48
WEB - Quiet LLC,V-Neck LS,1854,181707.84
Maceoo Hollywood FL,Bottom,1001,178015.28
Maceoo MGM,Bottom,965,174811.68
Maceoo DFW Terminal D,Blazer,241,171983.12
Maceoo ilani,Accessories,426,170144.59
Maceoo Biloxi,Suit,92,169656.96
Maceoo Hollywood FL,Suit,97,152408.16
WEB - Quiet LLC,Polo LS,1103,149066.88
Maceoo Atlantic,Athleisure,1124,148962.16
Maceoo PR,Blazer,300,141568.28
Maceoo Aria,Shoes,500,141195.04
Maceoo DFW Terminal D,Accessories,135,137716.58
Maceoo Aria,Uncategorized,-23017,135280.00
Maceoo Hollywood FL,Dress Shirt SS,849,130252.56
Maceoo Cosmo,Bottom,718,130133.04
Maceoo Cosmo,Jacket,199,130105.12
Maceoo Atlantic,Suit,94,129326.24
Maceoo Biloxi,Blazer,272,129092.04
Maceoo PR,Dress Shirt SS,801,125846.22
Maceoo Tampa,Dress Shirt LS,455,125076.04
Maceoo PR,Polo SS,1008,123921.44
Maceoo Hollywood FL,Athleisure,961,123496.12
Maceoo Atlantic,Bottom,679,121708.80
Maceoo Hollywood FL,Leather,33,120563.04
