period,store,units,retail_value,cost_value
ty,WEB - Quiet LLC,2070194,15650626.88,7171767.23
ty,Maceoo Aria,-12171,4602250.97,1898770.85
ty,Maceoo MGM,4454,2881945.21,1222656.11
ty,Maceoo Hollywood FL,7878,2381323.09,972191.56
ty,Maceoo ilani,15110,2304318.58,663687.17
ty,Maceoo Atlantic,8071,2170321.32,954621.01
ty,Maceoo PR,7947,1723273.82,785345.09
ty,Maceoo Cosmo,1948,1646860.14,691429.86
ty,Maceoo Biloxi,4105,1313025.80,600748.54
ty,Maceoo Tampa,40,1007450.26,413604.55
ty,Maceoo DFW Terminal D,2298,659469.09,312756.91
ty,Maceoo Resorts World Las Vegas,-409,459127.16,204197.84
ty,Maceoo Ocean AC,1719,357235.04,165717.99
ty,Maceoo Mandalay Bay (Men),2143,326350.63,80363.40
ty,Venetian,733,110016.28,58760.14
ty,Caesars Palace (Womens),30,85050.00,46995.00
ty,Caesars Palace (Mens),10,29250.00,16155.00
ty,CEOO DUBAI,-784,2088.60,810.81
ly,WEB - Quiet LLC,71307,14928129.28,6944459.28
ly,Maceoo Aria,-8426,3883420.73,1605782.04
ly,Maceoo MGM,3141,2079828.82,896768.51
ly,Maceoo Biloxi,6116,1540724.80,705873.66
ly,Maceoo Tampa,2922,1442354.15,621878.46
ly,Maceoo PR,7214,1308217.80,596370.71
ly,Maceoo Hollywood FL,3957,1223093.28,481140.00
ly,Maceoo Cosmo,118,1109069.05,471793.50
ly,Maceoo Atlantic,2283,814317.02,373964.26
ly,Maceoo Dadeland Mall,3582,752558.28,351105.41
ly,Maceoo Resorts World Las Vegas,1331,546272.24,242317.43
ly,Venetian,287,98364.96,54142.51
ly,CEOO DUBAI,63,916.72,430.68
