month,store,net_sales,orders,units
2025-01,Maceoo Hollywood FL,147176.71,353,1008
2025-01,Maceoo Resorts World Las Vegas,36938.10,76,212
2025-01,Maceoo Biloxi,64981.29,215,403
2025-01,Maceoo Aria,137281.05,280,976
2025-01,Maceoo Atlantic,121967.83,264,618
2025-01,Online Store,92610.41,476,476
2025-01,Maceoo MGM,72106.44,141,385
2025-01,Venetian,2058.71,6,9
2025-01,Maceoo Tampa,99653.74,185,475
2025-01,WEB - Quiet LLC,89,1,1
2025-01,Maceoo Cosmo,60421.78,143,339
2025-01,Maceoo PR,21188.23,70,137
2025-02,Maceoo Hollywood FL,187762.06,393,1126
2025-02,Maceoo MGM,70443.31,177,416
2025-02,Maceoo Biloxi,34060.41,115,272
2025-02,Maceoo Atlantic,95059.97,219,557
2025-02,Online Store,107728.77,458,564
2025-02,Venetian,12887.70,11,36
2025-02,Maceoo PR,26193.20,84,180
2025-02,Maceoo Resorts World Las Vegas,32549.19,71,220
2025-02,WEB - Quiet LLC,188.88,1,1
2025-02,Maceoo Aria,179537.64,267,1262
2025-02,Maceoo Tampa,86760.86,198,464
2025-02,Maceoo Cosmo,81286.22,143,467
2025-03,Maceoo Atlantic,97067.86,231,551
2025-03,Maceoo Resorts World Las Vegas,35605.07,75,229
2025-03,Online Store,125041.67,606,742
2025-03,Maceoo Hollywood FL,156828.83,414,1181
2025-03,Maceoo Aria,159027.92,303,1109
2025-03,Maceoo Biloxi,39109.19,115,252
2025-03,Maceoo Tampa,93848.39,187,499
2025-03,Maceoo Cosmo,69444.26,166,450
2025-03,Maceoo MGM,113243.14,204,605
2025-03,Venetian,4649.04,9,15
2025-03,Maceoo PR,36951.57,110,237
2025-04,WEB - Quiet LLC,645.52,1,4
2025-04,Maceoo Tampa,66283.82,163,396
2025-04,Maceoo PR,28039.78,100,198
2025-04,Maceoo Cosmo,78981.19,199,545
2025-04,Maceoo MGM,85827.16,216,563
2025-04,Maceoo Atlantic,98593.70,232,534
2025-04,Maceoo Aria,193572.52,318,1246
2025-04,Online Store,94879.58,408,557
2025-04,Maceoo Hollywood FL,153195.46,345,992
2025-04,Maceoo Biloxi,49276.77,179,360
2025-04,Maceoo Resorts World Las Vegas,31980.45,86,232
2025-05,Maceoo Biloxi,42025.21,173,309
2025-05,Maceoo Hollywood FL,155118.75,308,957
2025-05,Maceoo Aria,258457.50,393,1488
2025-05,Online Store,92363.68,458,606
2025-05,Maceoo Atlantic,173957.66,380,969
2025-05,Maceoo PR,47442.01,149,321
2025-05,Venetian,2320.64,8,18
2025-05,Maceoo Cosmo,76833.29,204,507
2025-05,Maceoo MGM,110248.26,296,817
2025-05,Maceoo Tampa,97207.92,227,510
2025-05,Maceoo Resorts World Las Vegas,22984.95,76,202
2025-06,Maceoo Resorts World Las Vegas,28770.42,84,209
2025-06,Maceoo Aria,249663.23,351,1856
2025-06,Maceoo Atlantic,140110.82,364,906
2025-06,Maceoo Biloxi,80778.54,289,608
2025-06,Maceoo Hollywood FL,80948.66,242,616
2025-06,Venetian,1515.31,1,1
2025-06,Maceoo Cosmo,72940.02,156,361
2025-06,Maceoo PR,52811.28,203,370
2025-06,WEB - Quiet LLC,420,4,3
2025-06,Maceoo Tampa,91705.46,252,1136
2025-06,Online Store,111871.99,578,808
2025-06,Maceoo MGM,89241.98,231,649
2025-07,Maceoo Atlantic,210349.59,399,918
2025-07,Maceoo Biloxi,50333.78,223,411
2025-07,Maceoo Aria,270154.55,331,1352
2025-07,Maceoo Hollywood FL,90417.60,249,678
2025-07,Maceoo Cosmo,65292.19,174,472
2025-07,Maceoo Tampa,79271.96,198,460
2025-07,Maceoo MGM,85601.18,200,603
2025-07,WEB - Quiet LLC,1010.76,5,5
2025-07,Maceoo Resorts World Las Vegas,30169.63,80,220
2025-07,Online Store,108684.59,534,848
2025-07,Maceoo PR,39974.48,134,270
2025-08,Maceoo Tampa,78877.80,253,562
2025-08,WEB - Quiet LLC,740.30,8,13
2025-08,Maceoo Aria,161180.91,351,1183
2025-08,Maceoo Cosmo,86238.45,208,538
2025-08,Maceoo Atlantic,124979.05,347,821
2025-08,Maceoo PR,35530.36,107,225
2025-08,Maceoo Resorts World Las Vegas,37789.85,99,295
2025-08,Online Store,102732.92,464,693
2025-08,Maceoo Hollywood FL,113516.76,303,848
2025-08,Maceoo Biloxi,43883.80,200,422
2025-08,Maceoo MGM,87328.22,214,586
2025-09,Maceoo PR,38389.68,114,239
2025-09,Maceoo Atlantic,142829.26,264,819
2025-09,Maceoo Hollywood FL,97461.03,218,606
2025-09,Maceoo MGM,95792.68,249,676
2025-09,Maceoo Biloxi,24944.21,126,206
2025-09,WEB - Quiet LLC,124,2,2
2025-09,Online Store,125077.59,446,715
2025-09,Maceoo Tampa,79411.78,197,497
2025-09,Maceoo Cosmo,93888,245,681
2025-09,Maceoo Aria,158511.92,336,991
2025-09,Maceoo Resorts World Las Vegas,51121.17,88,236
2025-10,Maceoo PR,51852.57,132,282
2025-10,Maceoo Hollywood FL,149793.63,262,703
2025-10,Maceoo Biloxi,18918.86,84,131
2025-10,Maceoo Atlantic,117432.10,238,542
2025-10,Maceoo MGM,90057.13,193,676
2025-10,Online Store,174257.34,629,835
2025-10,Maceoo Aria,198017.70,328,1095
2025-10,WEB - Quiet LLC,83,3,2
2025-10,Maceoo Resorts World Las Vegas,36874.26,71,208
2025-10,Maceoo Tampa,86107.26,180,495
2025-10,Maceoo Cosmo,132019.75,228,638
2025-11,Maceoo Tampa,104952.81,252,672
2025-11,Maceoo Aria,263400.77,402,1348
2025-11,Maceoo Resorts World Las Vegas,43623.80,78,245
2025-11,WEB - Quiet LLC,422.42,9,9
2025-11,Maceoo Cosmo,149079.32,291,748
2025-11,Online Store,494144.57,2161,3588
2025-11,Maceoo Atlantic,139029.04,278,893
2025-11,Maceoo PR,66489.31,195,463
2025-11,Maceoo Hollywood FL,240636.36,439,1265
2025-11,Maceoo Biloxi,75221.68,239,603
2025-11,Maceoo MGM,130063.65,302,867
2025-12,Maceoo Cosmo,104357.99,184,465
2025-12,Maceoo Tampa,112502.52,254,663
2025-12,Maceoo Aria,265969.46,381,1286
2025-12,WEB - Quiet LLC,277,3,1
2025-12,Maceoo Biloxi,69229.01,252,551
2025-12,Maceoo MGM,105947.47,249,750
2025-12,Maceoo Hollywood FL,301458.28,451,1307
2025-12,Online Store,287630.33,1708,1932
2025-12,Maceoo PR,157927.83,503,1034
2025-12,Maceoo Resorts World Las Vegas,34258.03,66,261
2025-12,Maceoo Atlantic,133038.75,281,446
2026-01,Online Store,82824.71,317,473
2026-01,Maceoo Biloxi,61562.43,199,503
2026-01,Maceoo MGM,94822.01,228,696
2026-01,Maceoo Hollywood FL,193091.58,367,1032
2026-01,Maceoo Atlantic,63562.60,210,397
2026-01,Maceoo PR,37411.24,128,231
2026-01,Maceoo Resorts World Las Vegas,28158.48,63,189
2026-01,Maceoo Aria,226811.96,357,1170
2026-01,CEOO DUBAI,2427,4,7
2026-01,Maceoo Cosmo,84902.82,163,426
2026-01,WEB - Quiet LLC,143,1,1
2026-01,Maceoo Tampa,99759.54,209,516
2026-02,Maceoo Biloxi,29814.27,118,215
2026-02,Online Store,125801.74,505,730
2026-02,CEOO DUBAI,48062.06,48,75
2026-02,Maceoo Hollywood FL,177239.28,347,965
2026-02,Maceoo Aria,207068.27,308,1450
2026-02,Maceoo Atlantic,78327.81,173,412
2026-02,Maceoo Resorts World Las Vegas,21005.89,46,151
2026-02,Maceoo PR,55704.92,158,324
2026-02,Maceoo Cosmo,103206.70,180,467
2026-02,Maceoo MGM,89423.71,222,638
2026-02,Maceoo Tampa,117362.09,224,618
2026-02,WEB - Quiet LLC,349,4,4
2026-03,CEOO DUBAI,106920.38,77,163
2026-03,Maceoo Aria,245794.70,387,1565
2026-03,Maceoo Cosmo,152725.89,221,635
2026-03,Maceoo Tampa,77817.04,207,649
2026-03,WEB - Quiet LLC,566.64,2,4
2026-03,Maceoo Biloxi,28136.11,133,233
2026-03,Venetian,6082.32,29,74
2026-03,Maceoo PR,36311.34,125,268
2026-03,Maceoo Hollywood FL,252254.47,399,1139
2026-03,Maceoo Resorts World Las Vegas,28358.64,77,191
2026-03,Maceoo Atlantic,121002.44,260,638
2026-03,Online Store,165618.02,897,1252
2026-03,Maceoo MGM,81351.30,252,624
2026-04,Maceoo Atlantic,146210.68,252,638
2026-04,Online Store,178234.13,846,1464
2026-04,Maceoo Hollywood FL,237863.73,378,1289
2026-04,CEOO DUBAI,127693.42,96,244
2026-04,Maceoo Aria,324153.25,415,2235
2026-04,Maceoo Biloxi,49822.30,164,536
2026-04,Maceoo Resorts World Las Vegas,28384.31,53,234
2026-04,Maceoo Tampa,86830.65,261,868
2026-04,WEB - Quiet LLC,0,3,3
2026-04,Maceoo Cosmo,165609.70,211,612
2026-04,Maceoo MGM,94059.43,235,781
2026-04,Venetian,37838.28,162,379
2026-04,Maceoo PR,38413.42,113,236
2026-05,Maceoo Cosmo,105317.63,221,587
2026-05,Maceoo PR,59451.71,178,401
2026-05,Venetian,59062.90,233,610
2026-05,Maceoo Tampa,88662.23,218,681
2026-05,WEB - Quiet LLC,0,2,2
2026-05,Maceoo MGM,111077.15,285,718
2026-05,Maceoo Resorts World Las Vegas,26749.64,73,300
2026-05,Online Store,199062.89,1203,1691
2026-05,Maceoo Aria,328866.60,512,2236
2026-05,Maceoo Atlantic,141927.98,316,888
2026-05,CEOO DUBAI,126702.43,128,302
2026-05,Maceoo Biloxi,62033.98,279,702
2026-05,Maceoo Hollywood FL,201534.75,369,1141
2026-06,CEOO DUBAI,51214.59,71,170
2026-06,Maceoo Aria,255359.55,416,2536
2026-06,Maceoo Biloxi,82596.82,305,723
2026-06,Maceoo Hollywood FL,158041.25,309,943
2026-06,Online Store,239653.06,1725,2048
2026-06,Maceoo Atlantic,140384.79,324,820
2026-06,Venetian,59121,199,552
2026-06,Maceoo PR,86534.98,257,594
2026-06,Maceoo Resorts World Las Vegas,12872.94,45,133
2026-06,Maceoo Cosmo,110633.62,219,600
2026-06,WEB - Quiet LLC,0,2,1
2026-06,Maceoo MGM,89877.57,204,532
2026-06,Maceoo Tampa,92629.07,219,677
2026-07,Maceoo MGM,92251.99,241,714
2026-07,CEOO DUBAI,72607.43,100,224
2026-07,Maceoo Aria,231492.92,346,2140
2026-07,Maceoo Atlantic,171598.90,313,749
2026-07,Maceoo Biloxi,67864.29,284,569
2026-07,Maceoo DFW Terminal D,30637.62,76,234
2026-07,Maceoo Hollywood FL,120909.16,281,821
2026-07,Venetian,80014.68,260,721
2026-07,Maceoo Cosmo,105676.62,221,604
2026-07,Maceoo PR,38441.41,116,309
2026-07,Maceoo ilani,102440.76,615,1085
2026-07,Maceoo Resorts World Las Vegas,15434.50,50,145
2026-07,Maceoo Tampa,101452.48,202,658
2026-07,Online Store,184402.77,980,1618
2026-08,Maceoo PR,48751.96,143,387
2026-08,Maceoo Cosmo,115352.04,223,731
2026-08,Maceoo Ocean AC,32380.65,152,351
2026-08,Maceoo Tampa,109645,209,665
2026-08,Venetian,95148.34,280,783
2026-08,Maceoo ilani,175260.56,1139,2031
2026-08,WEB - Quiet LLC,0,1,0
2026-08,Maceoo DFW Terminal D,38828.36,135,350
2026-08,Online Store,232553.34,1324,1696
2026-08,Maceoo MGM,73879.63,250,684
2026-08,CEOO DUBAI,170841.97,108,273
2026-08,Maceoo Atlantic,184339.90,296,924
2026-08,Maceoo Aria,202067.94,352,1483
2026-08,Maceoo Biloxi,66899.58,226,509
2026-08,Maceoo Resorts World Las Vegas,22141.04,68,202
2026-08,Maceoo Hollywood FL,179227.03,287,804
2026-09,Maceoo MGM,35736.03,100,251
2026-09,Maceoo Atlantic,41846.32,64,206
2026-09,Maceoo Mandalay Bay (Men),12438.50,59,160
2026-09,Maceoo Hollywood FL,47127.10,98,282
2026-09,Maceoo PR,15516.45,36,120
2026-09,Venetian,37037.78,103,268
2026-09,Maceoo Biloxi,20638.06,63,122
2026-09,Caesars Palace (Womens),47063.78,201,544
2026-09,Caesars Palace (Mens),8849.11,56,132
2026-09,Maceoo Tampa,32640.55,60,168
2026-09,Maceoo ilani,53087.27,353,559
2026-09,Maceoo Ocean AC,13642.50,64,139
2026-09,Maceoo Cosmo,28725.64,79,205
2026-09,Maceoo DFW Terminal D,15407.97,55,138
2026-09,Maceoo Resorts World Las Vegas,4928.51,22,49
2026-09,Online Store,66181.73,324,446
2026-09,Maceoo Aria,70552.77,116,487
2026-09,CEOO DUBAI,13868.16,35,85
