product,net_sales,units,orders
Socks - Various,26286.14,1051,695
Premium Tailoring,21962.46,679,294
Perm Galileo StretchCore Black Shirt,38552.01,257,262
Perm Boxer CoreSolid Black,6959.61,255,174
Bracelets - Various,16171.85,252,200
Dolcessa Maceoo VO Swim 3-259902,24890.80,250,129
Perm Eins StretchCore White Shirt,37814.23,240,218
Perm Galileo StretchCore White Shirt,31796.54,213,212
Indigo Dark Slim Jeans,39204.78,210,224
Perm Eins StretchCore Black Shirt,34281.15,205,203
Perm Boxer CoreSolid Blue,5109.74,196,159
SprayGround Bags,40335.89,189,180
Eins Ascension Classic White Shirt,30511.97,173,181
Edison Marthyr Navy V-Neck Tee,11047.52,172,177
Perm Boxer CoreSolid Grey,4408.11,161,113
Fragrance : One Mix - Various,29418.68,161,143
Knitted Marthyr White Shirt,24338.26,160,164
Neck Ties,14003.20,156,134
Newton Marthyr White Polo,13895.32,153,155
